cyclomatic_complexity,halstead_volume,maintainability_index,loc,defect_risk,source
1,10,100,18,Low,nasa_pc1
5,1510.21,72.44,39,Low,nasa_kc2
1,697.63,89.02,19,Low,nasa_kc1
4,10,100,2,Low,nasa_kc1
3,10,100,8,Low,nasa_kc1
4,10,81.96,110,Low,nasa_kc1
9,2251.11,38.473762058717064,93,Medium,nasa_kc1
2,1216.46,82.81,23,Low,nasa_kc1
4,135.01,90.60850279546422,1,Low,nasa_kc2
4,10,82.71,105,Low,nasa_kc1
25,5071.15,32.45,409,High,synthetic
4,265.33,95.16,17,Low,nasa_kc1
5,1129.24,75.17,59,Low,synthetic
13,9253.74,86.83,8,Medium,nasa_kc2
2,14.45,100,23,Low,nasa_pc1
2,1893.04,62.95,68,Medium,nasa_kc1
6,510.68,82.57,12,Low,synthetic
7,503.36,82.81,53,Low,synthetic
2,1596.77,74.59,35,Low,nasa_kc2
2,581.51,100,1,Low,nasa_kc2
2,10,100,3,Low,nasa_kc1
2,177.49,100,3,Low,nasa_kc1
4,8926.65,84.98926659576512,1,Medium,nasa_kc1
11,3306.9,82.34116414085261,1,Medium,nasa_kc1
11,11853.24,42.41,118,High,nasa_kc1
4,10,95.73,47,Low,nasa_kc1
16,5781.81,12.64505973562538,331,High,nasa_kc1
1,10,99.04,40,Low,nasa_kc1
13,3482.14,76.19,239,Medium,synthetic
4,6915.49,56.23,66,Medium,nasa_kc1
1,393.68,100,1,Low,nasa_kc2
18,2592.04,26.12961612001395,199,High,nasa_kc1
21,10480.43,35.44,210,High,synthetic
21,2565.8,48.521067455657764,48,High,nasa_kc1
24,12930.52,0,305,High,nasa_kc1
4,25.52,80.89,87,Low,nasa_pc1
9,13110.9,100,1,Medium,nasa_kc1
3,438.72,100,10,Low,nasa_pc1
3,10,100,16,Low,nasa_pc1
3,327.97,93.58,78,Low,synthetic
2,1149.87,80.11,7,Low,synthetic
3,585.02,94.42,14,Low,nasa_kc1
1,459.33,100,1,Low,nasa_pc1
31,7385.3,47.77,437,High,synthetic
13,3198.73,47.01365072807786,24,Medium,nasa_kc1
33,20150.37,0,321,High,nasa_kc1
4,1101.45,63.71,75,Low,nasa_kc1
1,134.44,100,12,Low,nasa_pc1
12,2541.63,53.78,102,Medium,synthetic
10,5386.45,25.97143937219497,89,High,nasa_kc1
1,10,100,16,Low,nasa_pc1
3,886.88,85.69,21,Low,nasa_kc1
3,3573.84,44.38,172,Medium,nasa_pc1
14,2720.14,68.25,146,Medium,synthetic
3,556.9,72.39357721362649,23,Low,nasa_pc1
5,10,93.87,52,Low,nasa_pc1
7,5997.04,53.79,77,Medium,nasa_kc1
1,440.35,100,1,Low,nasa_kc1
1,582.98,91.76,17,Low,nasa_pc1
5,1055.47,75.8,91,Low,synthetic
5,3859.09,95.38,7,Low,nasa_kc1
5,978.13,85.92,64,Low,synthetic
10,10,78.97516043823046,1,Low,nasa_kc1
25,13909.99,33.09,221,High,synthetic
4,15.01,82.62048669100247,21,Low,nasa_pc1
16,10493.57,48.77,381,High,synthetic
1,78.96,100,13,Low,nasa_pc1
2,10,100,25,Low,nasa_kc1
27,14885.85,15.19,548,High,synthetic
15,6276.36,16.24,355,High,synthetic
4,3412.59,90.47,10,Low,nasa_kc1
14,3940.95,58.91,166,High,synthetic
7,9785.79,33.23,234,High,nasa_kc1
1,516.23,94.42,15,Low,nasa_pc1
4,1304.17,100,1,Low,nasa_kc1
7,10,91.09,60,Low,nasa_kc1
3,4414.9,49.38,118,Medium,nasa_kc2
3,1902.46,100,1,Low,nasa_kc1
1,3249.24,100,1,Low,nasa_kc2
4,5316.67,70.92,29,Medium,nasa_kc1
1,228.18,100,9,Low,nasa_pc1
8,1675.68,55.49,212,Medium,synthetic
2,10,100,1,Low,nasa_pc1
2,2315.79,100,1,Low,nasa_pc1
4,3420.46,100,2,Low,nasa_pc1
2,2447.79,87.21,14,Low,nasa_pc1
12,14195.72,40.83,121,High,nasa_kc1
1,214.83,100,1,Low,nasa_pc1
16,5884.42,44.9,118,High,nasa_kc2
2,1366.01,82.2,23,Low,nasa_kc1
2,917.51,80.91,98,Low,synthetic
3,8161.24,77.57,17,Medium,nasa_kc1
5,10,100,15,Low,nasa_kc1
1,720.09,100,9,Low,nasa_pc1
30,1902.19,40.8,179,High,nasa_kc1
1,271.73,83.67,29,Low,synthetic
6,10,80.43023191339613,55,Low,nasa_kc1
9,10,83.83506295186648,41,Low,nasa_pc1
9,1902.06,65.97,51,Medium,nasa_kc1
5,451.65,92.48,73,Low,synthetic
2,10,100,26,Low,nasa_kc1
12,4573.09,40.06336654128032,92,High,nasa_pc1
1,402.5,100,11,Low,nasa_kc1
1,16.96,100,16,Low,nasa_pc1
13,17935.2,21.67188750268801,204,High,nasa_kc1
1,10,100,1,Low,nasa_pc1
1,2177.79,77.41,27,Low,nasa_kc1
1,414.46,80.93,37,Low,nasa_kc1
1,629.3,95.71,13,Low,nasa_kc1
8,3749.57,54.59,84,Medium,nasa_pc1
33,6392.5,49.51,557,High,synthetic
8,3601.49,51.31,213,Medium,synthetic
20,12846.3,15.13,545,High,synthetic
12,244.38,57.092885055820325,63,Medium,nasa_pc1
2,494.08,93.37,16,Low,nasa_pc1
2,3899.81,100,1,Low,nasa_pc1
6,2369.04,83.5348885352196,1,Low,nasa_kc2
2,10,100,7,Low,nasa_kc1
1,6523.58,60.48,54,Medium,nasa_kc1
10,1574.72,77.04,246,Medium,synthetic
1,3423.34,80.75,19,Low,nasa_pc1
6,10,99.59,36,Low,nasa_pc1
4,3927.23,81.15,17,Low,nasa_kc1
3,1402.12,77.53,30,Low,nasa_kc2
3,229.39,100,6,Low,nasa_kc2
1,357.23,87.42,26,Low,nasa_kc1
8,1503.01,65.8,157,Medium,synthetic
32,10047.05,27.85,482,High,synthetic
6,10,100,18,Low,nasa_pc1
6,3012.54,48.74,133,Medium,nasa_pc1
3,196.28,82.40542595695909,12,Low,nasa_kc2
1,10,100,11,Low,nasa_pc1
4,10,100,23,Low,nasa_kc1
3,1615.02,79.75,25,Low,nasa_kc1
1,10,100,1,Low,nasa_pc1
13,4842.12,68.33,81,Medium,synthetic
10,2315.49,76.58086225265662,1,Medium,nasa_kc2
2,513.0,85.94,25,Low,nasa_kc1
1,1293.25,70.8,48,Low,nasa_kc1
7,2176.85,66.38,49,Medium,nasa_pc1
2,3226.14,63.03,57,Medium,nasa_pc1
1,783.17,100,2,Low,nasa_kc1
4,458.96,55.46552609992742,70,Low,nasa_pc1
1,902.83,79.75,31,Low,nasa_kc1
23,13290.66,12.256060506172169,225,High,nasa_kc1
15,12261.76,53.22,236,High,synthetic
1,14.76,100,3,Low,nasa_pc1
2,141.66,100,1,Low,nasa_kc1
5,2263.81,64.47,56,Medium,nasa_pc1
1,4656.61,62.53,53,Medium,nasa_kc1
2,4028.02,76.58,23,Medium,nasa_kc1
25,14529.36,18.27,402,High,nasa_kc1
15,14084.7,38.41,135,High,nasa_kc1
3,10,100,2,Low,nasa_kc1
13,3122.66,77.94,112,Medium,synthetic
3,1882.09,88.35,14,Low,nasa_kc1
6,4415.56,69.79,105,Medium,synthetic
6,307.69,71.96,66,Low,nasa_kc1
1,854.47,86.35,21,Low,nasa_kc1
27,12020.41,3.8458907368168944,340,High,nasa_kc1
1,10,100,10,Low,nasa_kc1
4,10,100,17,Low,nasa_kc1
4,3137.31,57.84,77,Medium,nasa_kc1
36,21608.09,11.250928625099048,244,High,nasa_kc1
2,1191.65,85.18,20,Low,nasa_kc1
5,3942.17,87.73639138315502,6,Low,nasa_kc1
1,981.94,69.73,56,Low,nasa_kc1
10,10,95.8,43,Low,nasa_pc1
12,2829.19,77.75,191,Medium,synthetic
6,10,92.15,57,Low,nasa_kc1
1,536.48,83.54,29,Low,nasa_kc2
4,12862.52,30.557373830329723,80,High,nasa_kc1
13,4106.63,70.76,161,High,synthetic
13,1969.56,77.57,96,Medium,synthetic
3,5394.32,100,1,Low,nasa_kc1
1,415.93,90.88,20,Low,nasa_pc1
1,10,100,1,Low,nasa_pc1
1,158.4,100,1,Low,nasa_pc1
35,7747.01,19.02,366,High,synthetic
20,8018.01,24.06375686917115,87,High,nasa_kc1
18,7175.52,10.673446742803414,180,High,nasa_kc1
15,10,45.657717940493434,164,Medium,nasa_kc1
6,245.97,88.85,25,Low,nasa_pc1
18,6296.02,70.19682789785654,12,High,nasa_kc2
3,1076.26,99.54,92,Low,synthetic
16,2356.89,79.24,19,Medium,nasa_kc1
2,346.16,87.35,26,Low,nasa_pc1
2,10,100,16,Low,nasa_kc1
1,608.93,100,5,Low,nasa_kc1
7,7511.92,15.2385428933725,225,High,nasa_kc1
4,288.6,73.80990761232891,21,Low,nasa_pc1
16,4768.45,51.16,491,High,synthetic
14,7007.8,30.459022789979606,82,High,nasa_kc2
3,1015.6,92.76,13,Low,nasa_kc1
5,10,94.5,50,Low,nasa_kc1
6,10,59.83814587490824,79,Medium,nasa_kc1
24,11689.79,4.250706986832984,387,High,nasa_kc1
35,14737.68,21.08,563,High,synthetic
6,3155.04,100,2,Low,nasa_pc1
2,10,100,32,Low,nasa_pc1
1,1847.4,67.96,51,Low,nasa_pc1
6,460.02,75.36,47,Low,nasa_kc1
12,3263.53,67.58,191,Medium,synthetic
3,10,99.41,38,Low,nasa_pc1
1,369.3,100,1,Low,nasa_pc1
3,69.35,100,1,Low,nasa_kc2
16,14237.65,33.33,499,High,synthetic
5,988.31,73.78431189209445,2,Low,nasa_kc1
2,43.42,100,21,Low,nasa_pc1
36,13790.82,0,446,High,nasa_kc1
3,1083.56,83.87,10,Low,synthetic
9,1494.41,58.89,202,Medium,synthetic
4,757.27,76.84,99,Low,synthetic
16,5432.29,47.46,276,High,synthetic
7,1815.17,50.08,221,Medium,synthetic
3,10,93.72,54,Low,nasa_pc1
3,710.17,96.07,51,Low,synthetic
1,430.48,87.09,25,Low,nasa_kc2
2,10,100,23,Low,nasa_kc1
11,346.11,40.477676549371104,100,Medium,nasa_kc1
15,5830.02,46.95,557,High,synthetic
2,296.55,96.02,16,Low,nasa_kc1
4,262.94,91.78,21,Low,nasa_kc1
2,1055.65,92.79,13,Low,nasa_kc1
7,364.3,79.73,35,Low,synthetic
12,1524.95,61.34,246,High,synthetic
12,2166.81,72.93,170,Medium,synthetic
2,1122.23,100,1,Low,nasa_kc1
1,10,100,9,Low,nasa_kc1
12,6746.83,37.05,194,High,nasa_kc2
2,10,100,19,Low,nasa_kc2
4,10,88.38,74,Low,nasa_kc1
1,10,100,1,Low,nasa_kc1
4,6812.86,54.46,74,Medium,nasa_kc1
3,672.2,79.33,34,Low,nasa_kc1
7,8003.22,100,1,Medium,nasa_kc1
1,148.21,100,3,Low,nasa_pc1
9,9799.12,53.03,67,High,nasa_kc1
18,9755.01,55.09,52,High,nasa_kc1
1,730.98,99.18,10,Low,nasa_pc1
9,3296.21,100,1,Low,nasa_pc1
3,1049.1,100,3,Low,nasa_kc1
9,465.85,76.82,41,Low,nasa_kc1
33,9115.82,10.27,600,High,synthetic
1,179.12,100,1,Low,nasa_kc1
1,720.02,76.4,41,Low,nasa_kc1
5,922.91,61.45,90,Low,nasa_kc1
2,10,100,19,Low,nasa_kc1
2,1197.33,67.63,59,Low,nasa_pc1
28,8540.29,4.471504403621029,247,High,nasa_kc1
10,10,55.28678683909729,203,Medium,nasa_pc1
1,421.66,100,4,Low,nasa_pc1
6,2676.74,100,1,Low,nasa_kc1
23,10654.41,19.17,575,High,synthetic
8,4791.85,100,1,Medium,nasa_kc1
33,8472.14,28.0,234,High,nasa_kc1
3,6384.19,56.63,67,Medium,nasa_kc2
3,2846.58,73.32,31,Low,nasa_kc1
7,4375.47,74.9,117,Medium,synthetic
9,2303.0,100,1,Low,nasa_kc2
15,6058.14,42.09,141,High,nasa_kc1
9,4066.1,62.02,51,Medium,nasa_pc1
1,2442.58,71.28,38,Low,nasa_kc2
11,3843.4,75.47,22,Medium,nasa_kc2
3,785.0,79.8660823699291,16,Low,nasa_kc1
1,5137.05,70.2,32,Medium,nasa_kc2
1,461.47,100,10,Low,nasa_kc1
1,474.46,98.47,12,Low,nasa_pc1
7,805.56,91.29,82,Low,synthetic
5,3899.0,54.88,85,Medium,nasa_pc1
4,4718.47,100,1,Low,nasa_kc1
7,5422.3,55.4,72,Medium,nasa_kc1
9,3697.8,50.00670076148582,59,Medium,nasa_kc1
1,401.62,95.72,15,Low,nasa_pc1
4,10,100,1,Low,nasa_kc1
13,7954.32,31.35,258,High,nasa_kc1
6,4815.86,100,1,Medium,nasa_kc1
1,5802.13,48.15,120,Medium,nasa_kc1
4,4843.95,65.71698341201883,14,Medium,nasa_pc1
12,2575.33,53.63,170,High,synthetic
1,10,100,6,Low,nasa_kc2
6,901.06,58.85,105,Medium,nasa_kc1
3,1262.33,73.42,40,Low,nasa_pc1
6,420.46,80.15,36,Low,nasa_pc1
10,2270.37,100,1,Low,nasa_kc1
1,209.15,100,12,Low,nasa_pc1
4,878.68,90.78,96,Low,synthetic
1,385.33,90.49,21,Low,nasa_kc2
1,363.49,100,1,Low,nasa_kc1
9,8401.02,38.93,168,High,nasa_kc1
4,439.19,97.74,61,Low,synthetic
1,10,100,1,Low,nasa_pc1
2,886.87,79.61,31,Low,nasa_pc1
4,2665.18,61.19,66,Medium,nasa_kc1
10,2242.51,73.06211015742775,1,Medium,nasa_kc1
5,112.33,71.11997914435324,42,Low,nasa_kc1
7,1401.93,100,1,Low,nasa_kc2
3,1484.44,74.28,36,Low,nasa_kc2
3,1148.55,69.97,51,Low,nasa_kc1
10,8132.01,86.64218657581439,1,Medium,nasa_kc1
23,12501.9,14.6,561,High,synthetic
1,2708.69,61.08,69,Medium,nasa_kc1
5,10,100,30,Low,nasa_pc1
1,10,100,24,Low,nasa_kc2
16,5617.74,31.97,266,High,nasa_kc1
2,1021.95,79.96,29,Low,nasa_kc1
4,995.99,96.0,14,Low,synthetic
5,2275.68,74.99911522854373,14,Low,nasa_pc1
2,279.28,85.11,32,Low,nasa_kc2
1,52.73,99.36,23,Low,nasa_pc1
1,962.55,89.15,17,Low,nasa_kc1
1,10,100,15,Low,nasa_pc1
3,880.91,79.95,30,Low,nasa_pc1
2,1708.01,64.72,63,Medium,nasa_pc1
16,1792.19,64.99,50,High,nasa_kc1
2,484.24,100,1,Low,nasa_kc1
1,368.97,100,11,Low,nasa_pc1
4,1251.39,63.94,71,Low,nasa_kc2
1,749.76,100,1,Low,nasa_pc1
6,8044.65,90.46438698331248,1,Medium,nasa_pc1
1,700.99,84.55,25,Low,nasa_pc1
3,10,100,13,Low,nasa_kc1
3,553.84,97.21,21,Low,synthetic
11,3132.36,71.94,99,Medium,synthetic
21,8112.35,30.58,532,High,synthetic
4,4612.2,56.27,75,Medium,nasa_kc1
2,10,100,1,Low,nasa_kc1
3,3095.12,75.12,27,Low,nasa_kc1
21,4056.61,4.316836460491746,282,High,nasa_kc1
2,375.71,82.79,27,Low,synthetic
9,1984.22,74.83,133,Medium,synthetic
6,357.94,92.87,8,Low,synthetic
1,1925.43,100,1,Low,nasa_kc1
1,525.13,100,7,Low,nasa_pc1
4,5915.94,47.91,116,Medium,nasa_pc1
1,193.99,100,1,Low,nasa_pc1
1,10,100,34,Low,nasa_kc1
9,1772.94,59.41,116,Medium,synthetic
6,4693.45,74.63,242,Medium,synthetic
2,1427.16,80.92,98,Low,synthetic
9,4759.15,63.19,109,Medium,synthetic
2,10,100,21,Low,nasa_kc1
5,717.22,73.94191225658534,6,Low,nasa_kc1
10,10,68.63,230,Medium,nasa_kc1
6,1260.98,85.9,25,Low,synthetic
13,3412.06,50.71,139,Medium,synthetic
8,1456.92,76.67,232,Medium,synthetic
13,17767.19,21.11,375,High,nasa_kc1
16,10069.63,24.54,242,High,synthetic
22,11822.29,35.29906115953264,26,High,nasa_kc1
12,4861.82,28.43893356980151,107,High,nasa_kc1
1,10,100,27,Low,nasa_kc1
12,10,83.92,87,Low,nasa_pc1
1,554.08,93.0,16,Low,nasa_pc1
1,321.34,89.27,24,Low,nasa_kc1
7,150.87,79.67,99,Low,synthetic
4,5177.06,49.91,107,Medium,nasa_kc1
2,4114.68,80.44,18,Low,nasa_kc1
3,736.14,61.28758519902627,23,Low,nasa_kc1
9,1316.5,85.2982689731122,1,Low,nasa_pc1
4,3379.3,60.71,63,Medium,nasa_kc1
1,10,100,1,Low,nasa_pc1
3,6777.43,68.81,31,Medium,nasa_kc2
6,4343.28,56.34,74,Medium,nasa_kc2
33,10712.61,49.81,205,High,synthetic
4,2050.73,75.87,29,Low,nasa_kc1
4,578.99,90.87164174897798,2,Low,nasa_pc1
12,2034.43,56.32,106,Medium,synthetic
15,5146.77,30.14,454,High,synthetic
17,9416.0,30.470059884150483,119,High,nasa_kc1
1,333.38,100,11,Low,nasa_pc1
24,4177.39,38.68,316,High,synthetic
2,472.91,100,1,Low,nasa_kc1
1,10,100,13,Low,nasa_kc1
1,10,100,9,Low,nasa_kc1
35,4036.39,9.404486397364582,289,High,nasa_kc1
1,762.48,72.56,51,Low,nasa_kc2
1,359.74,100,3,Low,nasa_kc1
4,1169.32,88.97,5,Low,synthetic
1,407.64,95.65,15,Low,nasa_kc2
2,131.67,92.38,26,Low,nasa_kc1
2,225.64,100,1,Low,nasa_kc2
3,464.79,92.48,17,Low,nasa_kc2
1,214.0,82.09,88,Low,synthetic
9,3196.16,86.71,12,Low,nasa_kc1
7,2667.12,68.61,40,Medium,nasa_kc1
2,51.49,100,20,Low,nasa_pc1
7,6148.79,71.5927694588145,19,Medium,nasa_pc1
9,4791.19,56.81,114,Medium,synthetic
1,316.86,91.5,21,Low,nasa_kc1
6,2491.19,77.67,109,Medium,synthetic
1,500.49,85.67,26,Low,nasa_pc1
9,2716.05,94.13,8,Low,nasa_kc1
2,1075.67,86.54,19,Low,nasa_kc2
2,1310.68,87.69,6,Low,synthetic
11,4396.34,52.5,87,High,nasa_kc2
1,10,100,29,Low,nasa_kc1
32,15811.08,0,435,High,nasa_kc1
2,409.54,96.54,100,Low,synthetic
12,3455.11,39.4915643721614,88,High,nasa_pc1
37,10001.59,14.68,477,High,nasa_kc1
7,3036.17,60.94,118,Medium,synthetic
1,2860.28,85.51,15,Low,nasa_pc1
25,10811.93,29.39,474,High,synthetic
2,10,100,10,Low,nasa_kc1
15,6783.24,18.050643692874136,222,High,nasa_kc1
11,3205.19,55.03,102,Medium,synthetic
2,534.32,99.3,18,Low,synthetic
9,2919.66,42.50758612981599,113,Medium,nasa_pc1
7,1551.45,75.29737256277265,14,Medium,nasa_kc1
2,1137.04,100,1,Low,nasa_kc1
2,17.93,99.39,32,Low,nasa_kc1
28,10929.63,37.95,321,High,synthetic
7,3021.95,36.438700504207546,106,Medium,nasa_kc1
10,6239.81,17.211310041172045,133,High,nasa_kc1
20,13346.2,37.01,538,High,synthetic
7,3235.63,55.97,152,Medium,synthetic
1,209.3,98.07,16,Low,nasa_kc1
3,913.57,100,1,Low,nasa_kc1
1,10,100,1,Low,nasa_pc1
1,1555.88,79.16,27,Low,nasa_kc1
8,3948.94,81.18,16,Low,nasa_kc1
3,263.5,91.25,22,Low,nasa_kc1
2,1983.41,77.08,28,Low,nasa_pc1
3,10,100,2,Low,nasa_pc1
7,4378.1,57.61,120,Medium,synthetic
18,6275.19,13.408591365110297,200,High,nasa_kc1
10,6117.25,52.99,77,Medium,nasa_kc1
2,1310.32,100,1,Low,nasa_pc1
3,2496.43,68.7,43,Low,nasa_pc1
6,1359.21,85.06,53,Low,synthetic
8,4162.77,71.84,28,Medium,nasa_kc1
1,1228.71,81.02,47,Low,synthetic
1,10,100,19,Low,nasa_kc2
1,1224.67,91.52,78,Low,synthetic
2,891.32,96.37,11,Low,nasa_kc1
1,1673.19,100,1,Low,nasa_pc1
10,2237.05,100,1,Low,nasa_kc1
3,988.45,87.63,18,Low,nasa_kc1
13,10565.17,35.26,185,High,nasa_kc1
5,10,100,16,Low,nasa_kc1
2,10,100,7,Low,nasa_pc1
2,293.34,100,8,Low,nasa_pc1
7,436.76,91.58,9,Low,synthetic
19,14086.6,45.5,242,High,synthetic
2,890.68,100,1,Low,nasa_kc1
1,10,100,11,Low,nasa_kc2
1,227.38,100,1,Low,nasa_kc1
4,373.57,72.95,60,Low,nasa_kc1
1,282.03,100,9,Low,nasa_pc1
1,10,100,3,Low,nasa_pc1
2,10,100,1,Low,nasa_kc2
11,92.08,73.17,84,Medium,nasa_pc1
9,2172.84,63.76,56,Medium,nasa_pc1
2,777.1,100,2,Low,nasa_kc2
4,146.88,86.08,36,Low,nasa_pc1
1,79.24,100,8,Low,nasa_pc1
5,654.86,80.40440764595706,4,Low,nasa_kc1
12,3932.91,52.7790234278024,33,Medium,nasa_kc1
13,3227.27,64.82,245,High,synthetic
12,3650.45,37.048018110015654,121,High,nasa_kc1
13,2506.22,58.01,205,High,synthetic
3,555.57,97.19,12,Low,nasa_kc2
11,7589.73,56.717136236839906,21,High,nasa_kc1
3,10,83.91159330877248,68,Low,nasa_pc1
1,702.46,100,1,Low,nasa_pc1
1,10,100,25,Low,nasa_kc2
1,950.41,73.81,44,Low,nasa_kc1
2,10,100,1,Low,nasa_kc1
5,245.87,100,1,Low,nasa_kc1
1,755.92,99.0,10,Low,nasa_pc1
23,10383.84,53.1,411,High,synthetic
1,268.64,87.7,28,Low,nasa_pc1
1,252.04,100,6,Low,nasa_pc1
1,374.23,88.48,24,Low,nasa_kc1
10,1739.91,65.01,198,Medium,synthetic
15,5465.4,65.2,35,Medium,nasa_pc1
8,3909.01,67.65,37,Medium,nasa_kc2
1,487.14,100,2,Low,nasa_kc2
8,11316.06,12.807746659242266,199,High,nasa_kc1
5,1192.4,64.72650595486081,50,Low,nasa_pc1
10,2778.98,75.41,182,Medium,synthetic
3,3627.77,57.96,74,Medium,nasa_kc1
13,5422.22,51.33,85,High,nasa_pc1
5,10,100,1,Low,nasa_pc1
6,2268.7,51.202069941446084,29,Medium,nasa_kc2
2,179.48,100,1,Low,nasa_kc1
5,1237.61,81.13,68,Low,synthetic
2,2400.34,63.74,60,Medium,nasa_kc1
11,4617.93,70.41,169,High,synthetic
2,325.72,100,1,Low,nasa_pc1
14,6236.15,47.97785051597505,46,High,nasa_kc2
21,8427.17,5.065213003727937,240,High,nasa_kc1
1,101.84,100,6,Low,nasa_kc2
21,12237.08,20.11,539,High,synthetic
1,521.85,97.2,60,Low,synthetic
5,1973.43,61.1178494932808,49,Medium,nasa_pc1
1,419.32,95.5,15,Low,nasa_pc1
3,918.01,88.94,17,Low,nasa_pc1
4,3698.32,66.43,43,Low,nasa_pc1
1,696.6,86.65,22,Low,nasa_pc1
7,6398.52,51.70754892675339,27,Medium,nasa_pc1
1,2982.9,74.07,30,Low,nasa_pc1
7,1144.71,48.99980183238919,48,Medium,nasa_kc1
13,1898.79,63.3,222,High,synthetic
5,183.15,90.3,69,Low,synthetic
19,20156.06,0,360,High,nasa_kc1
1,727.16,80.36,32,Low,nasa_pc1
2,348.74,100,9,Low,nasa_pc1
1,212.7,92.82,22,Low,nasa_kc1
1,2209.31,90.47,12,Low,nasa_kc1
33,9214.22,31.96,422,High,synthetic
13,2343.11,57.45,92,Medium,synthetic
12,4876.45,72.04,152,High,synthetic
11,5587.09,34.48,245,High,nasa_kc2
1,303.46,100,10,Low,nasa_pc1
11,4255.78,73.27,244,High,synthetic
10,4751.11,34.812774368075736,96,High,nasa_kc1
9,644.35,68.201857714133,25,Low,nasa_kc2
6,1871.32,60.75,135,Medium,synthetic
1,10,100,8,Low,nasa_pc1
1,10,100,28,Low,nasa_kc1
2,410.62,100,1,Low,nasa_kc2
3,776.68,100,1,Low,nasa_kc1
2,201.01,100,11,Low,nasa_pc1
2,1344.86,76.93,32,Low,nasa_pc1
2,10,100,1,Low,nasa_kc1
1,2104.09,100,5,Low,nasa_kc1
2,1813.28,53.18,126,Medium,nasa_kc1
2,10,100,18,Low,nasa_kc1
1,420.14,100,1,Low,nasa_kc1
18,8869.59,30.972967025417137,104,High,nasa_kc1
7,1450.76,73.48,36,Low,nasa_kc1
3,10,88.83,73,Low,nasa_kc1
4,2877.32,76.52,25,Low,nasa_pc1
3,307.0,100,1,Low,nasa_kc2
5,10,83.93,96,Low,nasa_kc1
5,16719.33,34.67708305237686,60,High,nasa_kc1
1,260.21,87.3,29,Low,nasa_pc1
15,8592.33,33.85241761921553,78,High,nasa_kc2
8,306.99,73.32,59,Low,nasa_pc1
2,433.49,99.4,71,Low,synthetic
22,11673.37,11.41109207568421,178,High,nasa_kc1
7,207.79,75.07,14,Low,synthetic
17,4913.72,74.88732835788892,1,High,nasa_kc1
12,4504.38,68.31,106,Medium,synthetic
7,4339.46,55.99,244,High,synthetic
4,654.84,87.38,62,Low,synthetic
6,642.73,75.84,41,Low,nasa_pc1
3,1667.45,100,1,Low,nasa_pc1
13,15836.04,19.53,429,High,nasa_kc1
7,4838.29,62.9,47,Medium,nasa_pc1
3,665.85,89.68,18,Low,nasa_kc1
3,290.07,82.56,89,Low,synthetic
3,416.3,100,3,Low,nasa_kc1
7,1134.49,86.12,77,Low,synthetic
6,8823.61,29.235730711150833,109,High,nasa_kc1
8,6090.11,66.25,35,Medium,nasa_pc1
6,788.77,92.71,28,Low,synthetic
4,1243.57,100,1,Low,nasa_kc1
14,2161.02,75.93,86,Medium,synthetic
